State ID,State Type,정의,판정 기준,출처 원본 행번호,사용 TC 수
STA_X_LADDER_PARTICIPANTS_OVER_10,Data State,사다리 게임 참여 인원이 10명 이상인 상태,[검토 필요] 사다리 게임 참여 인원이 10명 이상인 상태,399,1
STA_X_LADDER_PARTICIPANTS_UNDER_10,Data State,사다리 게임 참여 인원이 10명 미만인 상태,[검토 필요] 사다리 게임 참여 인원이 10명 미만인 상태,398,1
STA_X_LADDER_SETUP_DONE,UI State,사다리 게임 세팅이 완료된 상태,[검토 필요] 사다리 게임 세팅이 완료된 상태,395,1
STA_X_LARGE_FILE_BUBBLE_EXISTS,Data State,채팅방에 대용량 파일 말풍선이 존재하는 상태,[검토 필요] 채팅방에 대용량 파일 말풍선이 존재하는 상태,543 544 545 546 547 548 549 550 552 553 554 555 556 557 558 559 561 562 563 564 565 566 567 568 569 570 573 574 575 576 577 579 580 581 582 583 585 586 587 588,40
STA_X_LEFT_MEMBER_REJOINED,Data State,채팅방을 나갔던 상대가 다시 채팅방에 재진입한 상태,[검토 필요] 채팅방을 나갔던 상대가 다시 채팅방에 재진입한 상태,63,1
STA_X_LINKIFY_EVENT_ACTIVE,Data State,링키파이 축하선물 상시운영 이벤트가 활성화된 상태,[검토 필요] 링키파이 축하선물 상시운영 이벤트가 활성화된 상태,27 28,2
STA_X_LIVE_TEXT_OFF,UI State,라이브 텍스트 기능이 꺼진 상태,[검토 필요] 라이브 텍스트 기능이 꺼진 상태,468 469 470 471,4
STA_X_LIVE_TEXT_ON,UI State,라이브 텍스트 기능이 켜진 상태,[검토 필요] 라이브 텍스트 기능이 켜진 상태,473 474,2
STA_X_LIVE_TEXT_SUPPORTED_DEVICE,Data State,라이브 텍스트 지원 단말(iOS 16 이상)인 상태,[검토 필요] 라이브 텍스트 지원 단말(iOS 16 이상)인 상태,468 469 470 471 473 474,6
STA_X_LOCATION_CONSENT_OFF,Data State,카톡 위치정보 수집 및 이용동의가 되어있지 않은(N) 상태,[검토 필요] 카톡 위치정보 수집 및 이용동의가 되어있지 않은(N) 상태,358,1
STA_X_LOCATION_GROUP_IN_CHATROOM,Data State,해당 채팅방에 연결된 위치 그룹이 존재하는 상태,[검토 필요] 해당 채팅방에 연결된 위치 그룹이 존재하는 상태,372 374 384,3
STA_X_LOCATION_MESSAGE_EXISTS,Data State,지도(위치) 말풍선이 존재하는 상태,[검토 필요] 지도(위치) 말풍선이 존재하는 상태,635,1
STA_X_LOCATION_PERMISSION_DENIED,Permission State,카톡 앱 OS 위치 접근 권한이 거부된 상태,[검토 필요] 카톡 앱 OS 위치 접근 권한이 거부된 상태,360,1
STA_X_LOCATION_SHARE_NOT_PARTICIPATING,Data State,위치공유에 참여 중이지 않은(N) 상태,[검토 필요] 위치공유에 참여 중이지 않은(N) 상태,358,1
STA_X_LOTTERY_GAME_STARTED,Data State,당첨 뽑기 게임이 시작되어 결과가 존재하는 상태,[검토 필요] 당첨 뽑기 게임이 시작되어 결과가 존재하는 상태,405 406,2
STA_X_LOTTERY_PARTICIPANTS_OVER_10,Data State,당첨 뽑기 참여 인원이 10명 이상인 상태,[검토 필요] 당첨 뽑기 참여 인원이 10명 이상인 상태,406,1
STA_X_LOTTERY_PARTICIPANTS_UNDER_10,Data State,당첨 뽑기 참여 인원이 10명 미만인 상태,[검토 필요] 당첨 뽑기 참여 인원이 10명 미만인 상태,405,1
STA_X_LOTTERY_SETUP_DONE,UI State,당첨 뽑기 당첨자 수 세팅이 완료된 상태,[검토 필요] 당첨 뽑기 당첨자 수 세팅이 완료된 상태,403,1
STA_X_MAIL_ACCOUNT_CONFIGURED,Data State,[iOS] 단말기에 메일 계정이 설정되어 있는 상태,[검토 필요] [iOS] 단말기에 메일 계정이 설정되어 있는 상태,906,1
STA_X_MAP_ACCOUNT_CHATROOM_MEMBER,Data State,카카오맵 로그인 계정이 대상 채팅방의 참여 멤버인 상태,[검토 필요] 카카오맵 로그인 계정이 대상 채팅방의 참여 멤버인 상태,366 372 374,3
STA_X_MAP_GROUP_ENTERED,Data State,카카오맵에서 위치 그룹에 입장한 상태,[검토 필요] 카카오맵에서 위치 그룹에 입장한 상태,380,1
STA_X_MEDIA_SELECTED_IN_PICKER,Data State,앨범 피커에서 사진/동영상을 선택한 상태,[검토 필요] 앨범 피커에서 사진/동영상을 선택한 상태,436 437 438 439 441,5
STA_X_MEMBERS_WITH_VARIED_NICKNAMES,Data State,채팅방에 숫자·영문·한글 닉네임의 멤버가 존재하는 상태,[검토 필요] 채팅방에 숫자·영문·한글 닉네임의 멤버가 존재하는 상태,199,1
STA_X_MEMBER_LEFT,Data State,그룹 채팅방에서 대화상대가 나가 퇴장 피드가 있는 상태,[검토 필요] 그룹 채팅방에서 대화상대가 나가 퇴장 피드가 있는 상태,60 61 63 65 67 68 69 70,8
STA_X_MENTION_COUNT_MAX,UI State,입력창에 멘션이 최대치(15개) 입력된 상태,[검토 필요] 입력창에 멘션이 최대치(15개) 입력된 상태,201 202,2
STA_X_MENTION_SUGGEST_ACTIVE,UI State,멘션 서제스트 UI가 활성화된 상태,[검토 필요] 멘션 서제스트 UI가 활성화된 상태,199,1
STA_X_MENTION_TARGET_EDITED_BY_RECEIVER,Data State,수신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,[검토 필요] 수신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,222 223 224 225 226 227,6
STA_X_MENTION_TARGET_EDITED_BY_SENDER,Data State,발신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,[검토 필요] 발신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,229 230 231 232 233 234,6
STA_X_MENTION_TARGET_FRIEND_NO_NAME_RECEIVER,Data State,수신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,[검토 필요] 수신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,236 237 238 239 240 241,6
STA_X_MENTION_TARGET_FRIEND_NO_NAME_SENDER,Data State,발신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,[검토 필요] 발신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,242,1
STA_X_MENTION_TARGET_NOT_FRIEND_RECEIVER,Data State,수신인에게 멘션대상(C)이 친구가 아닌 상태,[검토 필요] 수신인에게 멘션대상(C)이 친구가 아닌 상태,242,1
STA_X_MENTION_TARGET_NOT_FRIEND_SENDER,Data State,발신인에게 멘션대상(C)이 친구가 아닌 상태,[검토 필요] 발신인에게 멘션대상(C)이 친구가 아닌 상태,236 237 238 239 240 241,6
STA_X_MENTION_TARGET_SAVED_BY_RECEIVER,Data State,수신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,[검토 필요] 수신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,229 230 231 232 233 234,6
STA_X_MENTION_TARGET_SAVED_BY_SENDER,Data State,발신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,[검토 필요] 발신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,222 223 224 225 226 227,6
STA_X_MESSAGE_EXISTS,Data State,채팅방에 말풍선(메시지)이 하나 이상 존재하는 상태,[검토 필요] 채팅방에 말풍선(메시지)이 하나 이상 존재하는 상태,639,1
STA_X_MESSAGE_WITHIN_7DAYS,Data State,7일 이내 수발신된 말풍선이 존재하는 상태,[검토 필요] 7일 이내 수발신된 말풍선이 존재하는 상태,33,1
STA_X_MINIGAME_LIST_OPEN,UI State,미니게임 목록 바텀시트 웹뷰가 열린 상태,[검토 필요] 미니게임 목록 바텀시트 웹뷰가 열린 상태,389 393 401 407,4
STA_X_MUSIC_MESSAGE_EXISTS,Data State,뮤직(곡/앨범/플레이리스트) 말풍선이 존재하는 상태,[검토 필요] 뮤직(곡/앨범/플레이리스트) 말풍선이 존재하는 상태,606 607 608 609 611 612 613 615 616 617 619 620 621 623,14
STA_X_MUSIC_MODAL_ENTERED,UI State,뮤직 모달뷰(웹뷰)에 진입한 상태,[검토 필요] 뮤직 모달뷰(웹뷰)에 진입한 상태,600 601 602 603,4
STA_X_NOTICE_EXISTS,Data State,채팅방에 등록된 공지가 있는 상태,[검토 필요] 채팅방에 등록된 공지가 있는 상태,50 51 52,3
STA_X_NO_BOOKMARK,Data State,채팅방에 설정된 책갈피가 없는 상태,[검토 필요] 채팅방에 설정된 책갈피가 없는 상태,182,1
STA_X_NO_GAME_HISTORY,Data State,미니게임 이용 히스토리가 없는 상태,[검토 필요] 미니게임 이용 히스토리가 없는 상태,387,1
STA_X_NO_LOCATION_GROUP_IN_CHATROOM,Data State,해당 채팅방에 연결된 위치 그룹이 없는 상태,[검토 필요] 해당 채팅방에 연결된 위치 그룹이 없는 상태,366 369 379,3
STA_X_NO_MESSAGE_CHATROOM,Data State,말풍선이 하나도 없는(빈) 채팅방 상태,[검토 필요] 말풍선이 하나도 없는(빈) 채팅방 상태,638,1
STA_X_NO_RECENT_TAG,Data State,최근에 추가한 태그가 없는 상태,[검토 필요] 최근에 추가한 태그가 없는 상태,940,1
STA_X_NO_UPCOMING_SCHEDULE,Data State,다가올 일정이 없는 상태,[검토 필요] 다가올 일정이 없는 상태,725,1
STA_X_OPEN_ONE_ON_ONE_CHATROOM,Data State,오픈채팅 1:1 채팅방이 대상인 상태,[검토 필요] 오픈채팅 1:1 채팅방이 대상인 상태,211,1
STA_X_OVERSEAS_USER,Data State,해외 사용자 계정 상태,[검토 필요] 해외 사용자 계정 상태,91 92 93 412 414 415 416 417,8
STA_X_PARTICIPANTS_EXIST,Data State,채팅방에 인물필터 대상 참여 유저가 존재하는 상태,[검토 필요] 채팅방에 인물필터 대상 참여 유저가 존재하는 상태,106 107,2
STA_X_PERSON_FILTER_APPLIED,UI State,인물필터(유저 필터링)가 설정되어 있는 상태,[검토 필요] 인물필터(유저 필터링)가 설정되어 있는 상태,108,1
STA_X_PHOTO_EDITED,Data State,사진에 편집이 적용된 상태,[검토 필요] 사진에 편집이 적용된 상태,438,1
STA_X_PHYSICAL_HOME_BUTTON_DEVICE,Data State,물리(H/W) 홈버튼이 있는 단말인 상태,[검토 필요] 물리(H/W) 홈버튼이 있는 단말인 상태,261,1
STA_X_PLUS_MENU_CONTACT_OPENED,UI State,플러스메뉴 > 연락처 액션시트가 열린 상태,[검토 필요] 플러스메뉴 > 연락처 액션시트가 열린 상태,660 664,2
STA_X_POLL_POST_EXISTS,Data State,투표 게시글이 존재하는 상태,[검토 필요] 투표 게시글이 존재하는 상태,814,1
STA_X_POST_EXISTS,Data State,게시글이 존재하는 상태,[검토 필요] 게시글이 존재하는 상태,812,1
STA_X_PROFILE_MESSAGE_EXISTS,Data State,카카오톡 프로필 말풍선이 존재하는 상태,[검토 필요] 카카오톡 프로필 말풍선이 존재하는 상태,661 662,2
STA_X_PROFILE_PHOTO_SET,Data State,채팅방(프로필) 사진이 등록되어 있는 상태,[검토 필요] 채팅방(프로필) 사진이 등록되어 있는 상태,883,1
STA_X_QUALITY_HIGH,UI State,미디어 화질이 고화질로 설정된 상태,[검토 필요] 미디어 화질이 고화질로 설정된 상태,463 464,2
STA_X_QUALITY_ORIGINAL,UI State,미디어 화질이 원본으로 설정된 상태,[검토 필요] 미디어 화질이 원본으로 설정된 상태,458 459 460 461,4
STA_X_QUICK_RECORD_ENABLED,UI State,간편녹음 사용 설정이 켜진 상태,[검토 필요] 간편녹음 사용 설정이 켜진 상태,412,1
STA_X_QUICK_RECORD_ON,UI State,간편녹음 기능이 켜진(ON) 상태,[검토 필요] 간편녹음 기능이 켜진(ON) 상태,648 649 650 651 652,5
STA_X_QUIZ_ENDED_ANSWER_REVEAL_OFF,Data State,종료 후 정답 공개가 off로 설정된 퀴즈 게시글인 상태,[검토 필요] 종료 후 정답 공개가 off로 설정된 퀴즈 게시글인 상태,815,1
STA_X_QUIZ_POST_EXISTS,Data State,퀴즈 게시글이 존재하는 상태,[검토 필요] 퀴즈 게시글이 존재하는 상태,815,1
STA_X_REACTION_EXISTS,Data State,말풍선에 리액션 데이터가 존재하는 상태,[검토 필요] 말풍선에 리액션 데이터가 존재하는 상태,36 37,2
STA_X_REACTION_RESTORE_FAILED,Data State,말풍선 복원 후 리액션 아이템 복원에 실패한 상태,[검토 필요] 말풍선 복원 후 리액션 아이템 복원에 실패한 상태,39,1
STA_X_RECENT_SENT_FILES_EXIST,Data State,최근에 보낸 파일 목록이 존재하는 상태,[검토 필요] 최근에 보낸 파일 목록이 존재하는 상태,673 674 675 676 677,5
STA_X_RECENT_TAG_EXISTS,Data State,최근에 추가한 태그가 있는 상태,[검토 필요] 최근에 추가한 태그가 있는 상태,941,1
STA_X_REDUCE_MOTION_OFF,UI State,단말 손쉬운 사용의 동작 줄이기 및 크로스페이드가 OFF인 상태,[검토 필요] 단말 손쉬운 사용의 동작 줄이기 및 크로스페이드가 OFF인 상태,148,1
STA_X_REPLY_BUBBLE_EXISTS,Data State,원본을 인용한 답장 말풍선이 채팅방에 존재하는 상태,[검토 필요] 원본을 인용한 답장 말풍선이 채팅방에 존재하는 상태,171,1
STA_X_REPLY_MODE_ACTIVE,UI State,답장 입력창(답장 모드)이 활성화된 상태,[검토 필요] 답장 입력창(답장 모드)이 활성화된 상태,202,1
STA_X_REPLY_NOTIFICATION_ON,UI State,설정의 답장 메시지 알림이 켜진 상태,[검토 필요] 설정의 답장 메시지 알림이 켜진 상태,172,1
STA_X_SANDBOX_ENV,Data State,샌드박스 환경에서 테스트하는 상태,[검토 필요] 샌드박스 환경에서 테스트하는 상태,56,1
STA_X_SCHEDULE_MESSAGE_EXISTS,Data State,일정 등록 완료 말풍선이 존재하는 상태,[검토 필요] 일정 등록 완료 말풍선이 존재하는 상태,630 631,2
STA_X_SCRAP_URL_IN_INPUT,UI State,입력창에 스크랩 URL이 입력된 상태,[검토 필요] 입력창에 스크랩 URL이 입력된 상태,147,1
STA_X_SEARCH_KEYWORD_EMPTY,UI State,검색어를 입력하지 않은(빈) 상태,[검토 필요] 검색어를 입력하지 않은(빈) 상태,96 97 99 109,4
STA_X_SEARCH_KEYWORD_ENTERED,UI State,검색어를 입력한 상태,[검토 필요] 검색어를 입력한 상태,110 111 112,3
STA_X_SEARCH_RESULTS_MULTIPLE,Data State,검색어에 대한 검색 결과가 여러 개 존재하는 상태,[검토 필요] 검색어에 대한 검색 결과가 여러 개 존재하는 상태,100 104,2
STA_X_SEARCH_RESULTS_NONE,Data State,검색어에 대한 검색 결과가 없는 상태,[검토 필요] 검색어에 대한 검색 결과가 없는 상태,101,1
STA_X_SEARCH_RESULT_AT_BOUNDARY,Data State,이전/다음 검색 결과가 없는 처음 또는 마지막 결과 위치 상태,[검토 필요] 이전/다음 검색 결과가 없는 처음 또는 마지막 결과 위치 상태,112,1
STA_X_SEARCH_SCREEN_ENTERED,UI State,대화내용 검색 화면에 진입한 상태,[검토 필요] 대화내용 검색 화면에 진입한 상태,99 100 101 102 103 104 106 107 108 109 110 111 112 945 946 947,16
STA_X_SECRET_GROUP_CHATROOM,Data State,비밀 단체채팅방이 대상인 상태,[검토 필요] 비밀 단체채팅방이 대상인 상태,205,1
STA_X_SECRET_ONE_ON_ONE_CHATROOM,Data State,비밀 1:1 채팅방이 대상인 상태,[검토 필요] 비밀 1:1 채팅방이 대상인 상태,210,1
STA_X_SELECTED_GROUP_MEMBERS_UNDER_30,Data State,선택한 그룹의 참여 인원이 30명 미만인 상태,[검토 필요] 선택한 그룹의 참여 인원이 30명 미만인 상태,367 370 373 375,4
STA_X_SELECTED_TAG_NOT_IN_RECENT,Data State,선택하려는 태그가 최근 사용 목록에 없는 상태,[검토 필요] 선택하려는 태그가 최근 사용 목록에 없는 상태,944,1
STA_X_SENDABLE_ITEMS_EXIST,Data State,전송 가능한 항목(사진/동영상/파일/링크 등)이 존재하는 상태,[검토 필요] 전송 가능한 항목(사진/동영상/파일/링크 등)이 존재하는 상태,530 531 532 533 534 535 537 538 539,9
STA_X_SENT_OVER_24H,Data State,메시지 발송 후 24시간이 경과한 상태,[검토 필요] 메시지 발송 후 24시간이 경과한 상태,694 929,2
STA_X_SHARE_CONTENT_SELECTED,Data State,외부 앱에서 공유할 콘텐츠(사진 등)를 선택한 상태,[검토 필요] 외부 앱에서 공유할 콘텐츠(사진 등)를 선택한 상태,162,1
STA_X_SHARE_PICKER_OPEN,UI State,공유 피커(공유 대상 선택 레이어)가 열린 상태,[검토 필요] 공유 피커(공유 대상 선택 레이어)가 열린 상태,175 176 177 178,4
STA_X_SHOPPING_POINT_READY,Data State,결제용 쇼핑포인트가 세팅된 상태,[검토 필요] 결제용 쇼핑포인트가 세팅된 상태,30,1
STA_X_SHOP_SEARCH_HISTORY_EMPTY,Data State,이전 샵 검색 기록(결과)이 없는 상태,[검토 필요] 이전 샵 검색 기록(결과)이 없는 상태,338,1
STA_X_SHOP_SEARCH_HISTORY_EXISTS,Data State,이전 샵 검색 기록(결과)이 있는 상태(시계 아이콘),[검토 필요] 이전 샵 검색 기록(결과)이 있는 상태(시계 아이콘),339,1
STA_X_SHOP_SEARCH_MODE,UI State,샵(#) 검색 모드에 진입한 상태,[검토 필요] 샵(#) 검색 모드에 진입한 상태,343,1
STA_X_SIMPLE_KEYWORD_MESSAGE_EXISTS,Data State,간편키워드가 적용된 말풍선이 존재하는 상태,[검토 필요] 간편키워드가 적용된 말풍선이 존재하는 상태,310,1
STA_X_TAGS_EQUAL_FILTER_COUNT,Data State,필터링된(걸린) 태그 수가 동일한 태그가 존재하는 상태,[검토 필요] 필터링된(걸린) 태그 수가 동일한 태그가 존재하는 상태,945,1
STA_X_TAG_FILTER_OFF,UI State,태그 필터가 해제(OFF)된 상태,[검토 필요] 태그 필터가 해제(OFF)된 상태,946,1
STA_X_TAG_FILTER_ON,UI State,태그 필터가 ON된 상태,[검토 필요] 태그 필터가 ON된 상태,947,1
STA_X_TAG_IN_SHORTCUT,Data State,말풍선에 추가된 태그가 최근 태그 목록(숏컷)에 있는 상태,[검토 필요] 말풍선에 추가된 태그가 최근 태그 목록(숏컷)에 있는 상태,943,1
STA_X_TALKCLOUD_PAID_USER,Data State,톡클라우드 유료(구독) 사용자 상태,[검토 필요] 톡클라우드 유료(구독) 사용자 상태,908,1
STA_X_TALKCLOUD_SEND_SCREEN,UI State,톡클라우드 파일 전송하기 화면에 진입한 상태,[검토 필요] 톡클라우드 파일 전송하기 화면에 진입한 상태,528 530 531 532 533 534 535 537 538 539,10
STA_X_TALK_LOCATION_CONSENT_ON,Data State,톡 위치 정보 이용 동의가 완료된 상태,[검토 필요] 톡 위치 정보 이용 동의가 완료된 상태,360 362,2
STA_X_TALK_MAP_ACCOUNT_MATCH,Data State,카카오톡과 카카오맵 로그인 계정이 동일한 상태,[검토 필요] 카카오톡과 카카오맵 로그인 계정이 동일한 상태,369 372,2
STA_X_TALK_MAP_ACCOUNT_MISMATCH,Data State,카카오톡과 카카오맵 로그인 계정이 서로 다른 상태,[검토 필요] 카카오톡과 카카오맵 로그인 계정이 서로 다른 상태,366 374,2
STA_X_TEN_OR_MORE_FRIENDS,Data State,친구가 10명 이상 존재하는 상태,[검토 필요] 친구가 10명 이상 존재하는 상태,402,1
STA_X_THEME_APPLIED,UI State,테마가 적용된 상태,[검토 필요] 테마가 적용된 상태,890,1
STA_X_TOOLBAR_ON,UI State,채팅방 입력창 툴바가 켜진(ON) 상태,[검토 필요] 채팅방 입력창 툴바가 켜진(ON) 상태,337,1
STA_X_TOTAL_TAG_LIMIT_REACHED,Data State,전체 태그 수가 최대 한도에 도달한 상태,[검토 필요] 전체 태그 수가 최대 한도에 도달한 상태,937,1
STA_X_TRIGGER_BUBBLE_EXISTS,Data State,채팅방에 트리거 말풍선이 누적되어 존재하는 상태,[검토 필요] 채팅방에 트리거 말풍선이 누적되어 존재하는 상태,28,1
STA_X_TYPING_INDICATOR_SETTING_OFF,UI State,설정 > 채팅 > 메시지 입력 중 상태보기가 OFF인 상태,[검토 필요] 설정 > 채팅 > 메시지 입력 중 상태보기가 OFF인 상태,120,1
STA_X_TYPING_INDICATOR_SETTING_ON,UI State,설정 > 채팅 > 메시지 입력 중 상태보기가 ON인 상태,[검토 필요] 설정 > 채팅 > 메시지 입력 중 상태보기가 ON인 상태,119,1
STA_X_UNREAD_OVER_11,Data State,안읽은 메시지가 11개 이상 쌓인 상태,[검토 필요] 안읽은 메시지가 11개 이상 쌓인 상태,55,1
STA_X_UPCOMING_SCHEDULE_EXISTS,Data State,다가올 일정이 존재하는 상태,[검토 필요] 다가올 일정이 존재하는 상태,727 728,2
STA_X_VOICE_MESSAGE_EXISTS,Data State,음성메시지 말풍선이 존재하는 상태,[검토 필요] 음성메시지 말풍선이 존재하는 상태,655,1
STA_X_VOICE_MESSAGE_RECEIVED,Data State,음성메시지를 수신한 상태(음성 말풍선 존재),[검토 필요] 음성메시지를 수신한 상태(음성 말풍선 존재),285 292 298 306,4
STA_X_WHEEL_GAME_PARTICIPANT,Data State,돌림판 게임의 참여자인 상태,[검토 필요] 돌림판 게임의 참여자인 상태,391,1
STA_X_WHEEL_GAME_STARTED,Data State,돌림판 게임이 시작되어 채팅방에 공유된 상태,[검토 필요] 돌림판 게임이 시작되어 채팅방에 공유된 상태,391,1
STA_X_WHEEL_SETUP_DONE,UI State,돌림판 항목 세팅이 완료된 상태,[검토 필요] 돌림판 항목 세팅이 완료된 상태,390,1
